id,w,p
1199,19.9,1080.532
1200,20,1080.976
1201,20.1,1081.42
1202,20.2,1081.865
1203,20.3,1082.31
1204,20.4,1082.755
1205,20.5,1083.201
1206,20.6,1083.647
1207,20.7,1084.093
1208,20.8,1084.54
1209,20.9,1084.986
1210,21,1085.434
1211,21.1,1085.881
1212,21.2,1086.329
1213,21.3,1086.777
1214,21.4,1087.226
1215,21.5,1087.675
1216,21.6,1088.124
1217,21.7,1088.573
1218,21.8,1089.023
1219,21.9,1089.473
1220,22,1089.924
1221,22.1,1090.374
1222,22.2,1090.826
1223,22.3,1091.277
1224,22.4,1091.729
1225,22.5,1092.181
1226,22.6,1092.633
1227,22.7,1093.086
1228,22.8,1093.539
1229,22.9,1093.992
1230,23,1094.446
1231,23.1,1094.9
1232,23.2,1095.354
1233,23.3,1095.809
1234,23.4,1096.264
1235,23.5,1096.72
1236,23.6,1097.175
1237,23.7,1097.631
1238,23.8,1098.088
1239,23.9,1098.544
1240,24,1099.001
1241,24.1,1099.458
1242,24.2,1099.916
1243,24.3,1100.374
1244,24.4,1101.832
1245,24.5,1101.291
1246,24.6,1101.75
1247,24.7,1102.209
1248,24.8,1102.669
1249,24.9,1103.129
1250,25,1103.589
1251,25.1,1104.05
1252,25.2,1104.511
1253,25.3,1104.972
1254,25.4,1105.434
1255,25.5,1105.896
1256,25.6,1106.358
1257,25.7,1106.82
1258,25.8,1107.283
1259,25.9,1107.747
1260,26,1108.21
1261,26.1,1108.674
1262,26.2,1109.138
1263,26.3,1109.603
1264,26.4,1110.068
1265,26.5,1110.533
1266,26.6,1110.999
1267,26.7,1111.465
1268,26.8,1111.931
1269,26.9,1111.398
1270,27,1112.865
1271,27.1,1113.332
1272,27.2,1113.8
1273,27.3,1114.268
1274,27.4,1114.736
1275,27.5,1115.205
1276,27.6,1115.674
1277,27.7,1116.143
1278,27.8,1116.613
1279,27.9,1117.083
1280,28,1117.553
1281,28.1,1118.024
1282,28.2,1118.495
1283,28.3,1118.966
1284,28.4,1119.438
1285,28.5,1119.91
1286,28.6,1120.382
1287,28.7,1120.855
1288,28.8,1121.328
1289,28.9,1121.801
1290,29,1122.275
1291,29.1,1122.749
1292,29.2,1123.223
1293,29.3,1123.698
1294,29.4,1124.173
1295,29.5,1124.649
1296,29.6,1125.125
1297,29.7,1125.601
1298,29.8,1126.077
1299,29.9,1126.554
1300,30,1127.031
1301,30.1,1127.509
1302,30.2,1127.986
1303,30.3,1128.465
1304,30.4,1128.943
1305,30.5,1129.422
1306,30.6,1129.901
1307,30.7,1130.381
1308,30.8,1130.861
1309,30.9,1131.341
